keyword,bill_no,bill_name,proposer,proposed_date,status,url
응급의료,2217797,응급의료에 관한 법률 일부개정법률안 (한지아의원 등 11인) (새창 열림),의원,2026-03-27,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2P6O0P3W1X6V1W3U3V0T3U4B4A0B4
응급의료,2217387,응급의료에 관한 법률 일부개정법률안 (정연욱의원 등 10인) (새창 열림),의원,2026-03-11,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_L2J6K0I2J0H2H1Q4Q5O3P4N7M4M1U8
응급의료,2217257,응급의료에 관한 법률 일부개정법률안 (강승규의원 등 10인) (새창 열림),의원,2026-03-05,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_P2Q5F0F7E2F4D1D0C3K7K1I0J6I6I9
응급의료,2216833,응급의료에 관한 법률 일부개정법률안 (한지아의원 등 10인) (새창 열림),의원,2026-02-12,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_F2G6E0E1N2N9L1M1K5L8J2R5S6Q3R0
응급의료,2216578,응급의료에 관한 법률 일부개정법률안 (김선민의원 등 10인) (새창 열림),의원,2026-02-05,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_B2C6B0B1Z2A8Y1G3H4F3F4E3F0D0Z6
응급의료,2216398,응급의료에 관한 법률 일부개정법률안 (이주영의원 등 11인) (새창 열림),의원,2026-01-28,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_V2C6D0B1C1A3Z1Z0H2H6G5G7E5F1E6
응급의료,2216323,응급의료에 관한 법률 일부개정법률안 (임종득의원 등 11인) (새창 열림),의원,2026-01-26,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_B2C6A0B1Z1H3I1G1G5E1G2E0E2M8N0
응급의료,2216304,응급의료에 관한 법률 일부개정법률안 (강대식의원 등 10인) (새창 열림),의원,2026-01-23,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2R6P0Q1P0P5L1L0J4K3J4H9H7P6Q5
응급의료,2215943,응급의료에 관한 법률 일부개정법률안 (김태호의원 등 15인) (새창 열림),의원,2026-01-09,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_C2C5B1Z2A2Y6Z1G0H2G4G3E9F6D6L1
응급의료,2215887,응급의료에 관한 법률 일부개정법률안 (서영석의원 등 11인) (새창 열림),의원,2026-01-07,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_N2L5M1K2L2J2K1F7G2E4F4D4B4D9K2
응급의료,2217797,응급의료에 관한 법률 일부개정법률안 (한지아의원 등 11인) (새창 열림),의원,2026-03-27,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2P6O0P3W1X6V1W3U3V0T3U4B4A0B4
응급의료,2217387,응급의료에 관한 법률 일부개정법률안 (정연욱의원 등 10인) (새창 열림),의원,2026-03-11,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_L2J6K0I2J0H2H1Q4Q5O3P4N7M4M1U8
응급의료,2217257,응급의료에 관한 법률 일부개정법률안 (강승규의원 등 10인) (새창 열림),의원,2026-03-05,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_P2Q5F0F7E2F4D1D0C3K7K1I0J6I6I9
응급의료,2216833,응급의료에 관한 법률 일부개정법률안 (한지아의원 등 10인) (새창 열림),의원,2026-02-12,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_F2G6E0E1N2N9L1M1K5L8J2R5S6Q3R0
응급의료,2216578,응급의료에 관한 법률 일부개정법률안 (김선민의원 등 10인) (새창 열림),의원,2026-02-05,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_B2C6B0B1Z2A8Y1G3H4F3F4E3F0D0Z6
응급의료,2216398,응급의료에 관한 법률 일부개정법률안 (이주영의원 등 11인) (새창 열림),의원,2026-01-28,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_V2C6D0B1C1A3Z1Z0H2H6G5G7E5F1E6
응급의료,2216323,응급의료에 관한 법률 일부개정법률안 (임종득의원 등 11인) (새창 열림),의원,2026-01-26,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_B2C6A0B1Z1H3I1G1G5E1G2E0E2M8N0
응급의료,2216304,응급의료에 관한 법률 일부개정법률안 (강대식의원 등 10인) (새창 열림),의원,2026-01-23,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2R6P0Q1P0P5L1L0J4K3J4H9H7P6Q5
응급의료,2215943,응급의료에 관한 법률 일부개정법률안 (김태호의원 등 15인) (새창 열림),의원,2026-01-09,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_C2C5B1Z2A2Y6Z1G0H2G4G3E9F6D6L1
응급의료,2215887,응급의료에 관한 법률 일부개정법률안 (서영석의원 등 11인) (새창 열림),의원,2026-01-07,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_N2L5M1K2L2J2K1F7G2E4F4D4B4D9K2
응급의료,2215784,응급의료에 관한 법률 일부개정법률안 (박정하의원 등 10인) (새창 열림),의원,2025-12-31,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_K2L5J1J2I3G0H1C0D1B6C5B1B9Z8H9
응급의료,2215310,응급의료에 관한 법률 일부개정법률안 (김남희의원 등 23인) (새창 열림),의원,2025-12-17,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_D2D5B1C2A1B0W1X5W1W9U4V1U3B2C9
응급의료,2214619,응급의료에 관한 법률 일부개정법률안 (문진석의원 등 10인) (새창 열림),의원,2025-11-27,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_U2S5S1R1R0Q7Q1M5K5L5J3K8I4J2R8
응급의료,2214199,응급의료에 관한 법률 일부개정법률안(대안) (보건복지위원장) (새창 열림),위원장,2025-11-12,공포,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_C2E5C0J9O2H3A1V8L2V9R3D0I5A1M9
응급의료,2213901,응급의료에 관한 법률 일부개정법률안 (김윤의원 등 28인) (새창 열림),의원,2025-11-04,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_O2O5N1N1L0M3U0V9T2T8S0S7R6Y0Z4
응급의료,2213315,응급의료에 관한 법률 일부개정법률안 (임종득의원 등 10인) (새창 열림),의원,2025-09-26,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_W2U5T0U9S1A5Z1A9Y0W3F2D2E5D1B3
응급의료,2212893,응급의료에 관한 법률 일부개정법률안(대안) (보건복지위원장) (새창 열림),위원장,2025-09-10,공포,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_P2M5L0O8G2H6A1G2L2J3B5U5Y6Z8R0
응급의료,2212171,응급의료에 관한 법률 일부개정법률안 (박정현의원 등 11인) (새창 열림),의원,2025-08-14,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2R5P0Y7Y1W7X0V9W3U1V5D6D0B3C8
응급의료,2211510,응급의료에 관한 법률 일부개정법률안 (임종득의원 등 10인) (새창 열림),의원,2025-07-16,대안반영폐기,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_E2F5N0N4L2M9L1J0J3R5S2Q8R1P2O2
응급의료,2211254,응급의료에 관한 법률 일부개정법률안 (이수진의원 등 11인) (새창 열림),의원,2025-07-03,대안반영폐기,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_S2T5R0S4A1A0Z1Z0X1W7X2S7T5R5S5
