keyword,bill_no,bill_name,proposer,proposed_date,vote_date,status,url
응급의료,2217797,응급의료에 관한 법률 일부개정법률안 (한지아의원 등 11인) (새창 열림),의원,2026-03-27,,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2P6O0P3W1X6V1W3U3V0T3U4B4A0B4
응급의료,2217797,응급의료에 관한 법률 일부개정법률안 (한지아의원 등 11인) (새창 열림),의원,2026-03-27,,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2P6O0P3W1X6V1W3U3V0T3U4B4A0B4
응급의료,2217387,응급의료에 관한 법률 일부개정법률안 (정연욱의원 등 10인) (새창 열림),의원,2026-03-11,,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_L2J6K0I2J0H2H1Q4Q5O3P4N7M4M1U8
응급의료,2217387,응급의료에 관한 법률 일부개정법률안 (정연욱의원 등 10인) (새창 열림),의원,2026-03-11,,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_L2J6K0I2J0H2H1Q4Q5O3P4N7M4M1U8
응급의료,2217257,응급의료에 관한 법률 일부개정법률안 (강승규의원 등 10인) (새창 열림),의원,2026-03-05,,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_P2Q5F0F7E2F4D1D0C3K7K1I0J6I6I9
응급의료,2217257,응급의료에 관한 법률 일부개정법률안 (강승규의원 등 10인) (새창 열림),의원,2026-03-05,,소관위접수,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_P2Q5F0F7E2F4D1D0C3K7K1I0J6I6I9
공공보건의료법,2212809,공공보건의료에 관한 법률 일부개정법률안 (문진석의원 등 11인) (새창 열림),의원,2025-09-09,,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_Y2Y5W0X6V1D6E0C9D3B2C2A8B0I6J8
공공보건의료법,2208395,공공보건의료에 관한 법률 일부개정법률안 (서천호의원 등 13인) (새창 열림),의원,2025-02-25,,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_O2P5W0X2V1U3U1S0T4B4C5A2Y3Z0Y8
공공보건의료법,2206076,공공보건의료에 관한 법률 일부개정법률안 (문금주의원 등 15인) (새창 열림),의원,2024-11-29,,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_X2F4F1E1F2D2D1B3K3K2I4J7H3I8H3
공공보건의료법,2205616,공공보건의료에 관한 법률 일부개정법률안 (김윤의원 등 21인) (새창 열림),의원,2024-11-15,,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_A2Z4Z1V1V1U1U1S1R2S0A3A1Y3Z6X0
공공보건의료법,2202228,공공보건의료에 관한 법률 일부개정법률안 (김선민의원 등 15인) (새창 열림),의원,2024-07-25,,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_H2E4N0N7W1T7S1B3A2X2F5F7D2C7B1
