keyword,source,title,date,url,collected_at
중증응급,yna,"밀양시, 응급의료·소아 진료 강화…달빛어린이병원 전일제 확대",2026-04-22,https://www.yna.co.kr/view/AKR20260422124400052?input=1195m,2026-04-23 08:36:46
중증응급,newsis,"""수 시간 거릴 단숨에"" 전남 블루매, 흑산도 응급환자 구했다",2026-04-22,https://www.newsis.com/view/NISX20260422_0003602242,2026-04-23 08:36:43
중증외상,kado,"정은경 장관, 원주서 강원 응급의료 이송체계 점검…""지역 맞춤형 구축...",2026-04-22,https://www.kado.net/news/articleView.html?idxno=2046231,2026-04-23 08:36:23
중증외상,domin,하루 400번 출동하는 구급차…이송 환자 절반은 고령층,2026-04-22,http://www.domin.co.kr/news/articleView.html?idxno=1553190,2026-04-23 08:36:20
중증외상,docdocdoc,유일한 '전부승소' 계명대마저…응급환자 '수용거부' 판결 2심서 뒤집혀,2026-04-22,http://www.docdocdoc.co.kr/news/articleView.html?idxno=3038559,2026-04-23 08:36:23
중앙응급의료센터,newspicom,"정은경 복지부 장관, 강원 응급의료 현장 점검…""이송체계 강화""",2026-04-22,https://www.newspim.com/news/view/20260422000111,2026-04-23 08:37:30
중앙응급,dailian,"'단식 농성' 안호영, 정청래 얼굴도 못 보고 결국 응급실 이송",2026-04-22,https://www.dailian.co.kr/news/view/1636543/?sc=Naver,2026-04-23 08:37:45
응급의료 취약지역,monews,"政, 응급환자 이송체계 혁신사업 전국 확산 추진",2026-04-22,https://www.monews.co.kr/news/articleView.html?idxno=410827,2026-04-23 08:36:55
응급의료,weekly,"'환자 없이 질주' 사설구급차…""평범한 하루가 비극으로"" 중학생 참변",2026-04-22,http://weekly.chosun.com/news/articleView.html?idxno=50919,2026-04-23 08:35:48
응급의료,pointdaily,"장성군, 생활체전 대비 '응급의료 골든타임' 사수… 실무 교육 강화",2026-04-22,https://www.pointdaily.co.kr/news/articleView.html?idxno=302459,2026-04-23 08:35:45
응급의료,kado,"정은경 보건복지부 장관 ""강원형 응급의료·통합돌봄 체계 구축""",2026-04-22,https://www.kado.net/news/articleView.html?idxno=2046379,2026-04-23 08:35:48
응급의료,enewstoday,"진천군의회, '공공심야약국·응급의료·기후작물' 등 민생 조례 3건 의결",2026-04-22,http://www.enewstoday.co.kr/news/articleView.html?idxno=2422182,2026-04-23 08:35:38
응급의료,ccdailynews,"충남대병원, 필수의료 협력망 구축",2026-04-22,https://www.ccdailynews.com/news/articleView.html?idxno=2412196,2026-04-23 08:35:40
응급실 뺑뺑이,yangsanilbo,"'응급실 뺑뺑이' 병원, 4억 배상 판결",2026-04-22,http://www.yangsanilbo.com/news/articleView.html?idxno=124351,2026-04-23 08:36:32
응급실 뺑뺑이,news,병원 못 찾아 사망… 응급실 뺑뺑이 언제까지?,2026-04-22,https://news.skbroadband.com/news/articleView.html?idxno=223714,2026-04-23 08:36:32
응급실,idaegu,'대구 10대 추락사' 응급실 뺑뺑이 판결 뒤집혔다…계명대동산병원 항소...,2026-04-22,https://www.idaegu.com/news/articleView.html?idxno=660994,2026-04-23 08:36:16
응급실,apsk,"로켈마, 국내 처방 시작 고칼륨혈증 '응급실 관장' 사라지나…급여는 언...",2026-04-22,https://www.apsk.co.kr/news/articleView.html?idxno=539215,2026-04-23 08:36:08
상급종합병원,rapportian,"고대구로병원 교수팀, 상급종합병원 '자문형 완화의료 모델' 정립",2026-04-22,https://www.rapportian.com/news/articleView.html?idxno=235044,2026-04-23 08:37:15
상급종합병원,newsmp,"고대구로병원 이유정 교수팀, 상급종합병원형 완화의료 모델 효과 입증...",2026-04-22,http://www.newsmp.com/news/articleView.html?idxno=252845,2026-04-23 08:37:13
상급종합병원,news,상급종합병원 지정 기준 상향 조정…중증환자 38% 미만 탈락,2026-04-22,https://news.knn.co.kr/news/article_sns/1214,2026-04-23 08:37:20
상급종합병원,medicalworldnews,상급종합병원 최적화 자문형 완화의료 모델 정립…단기간 개입에도 생애...,2026-04-22,https://medicalworldnews.co.kr/news/view.php?idx=1510974266,2026-04-23 08:37:10
상급종합병원,kmedinfo,상급종합병원형 완화의료 'K-HOPE' 효과 입증,2026-04-22,http://www.kmedinfo.co.kr/news/articleView.html?idxno=95628,2026-04-23 08:37:20
상급종합병원,doctorstimes,"상급종합병원 최적화 자문형 완화의료 모델 정립, 효과 입증",2026-04-22,http://www.doctorstimes.com/news/articleView.html?idxno=237752,2026-04-23 08:37:20
미수용,yeongnacom,"[동대구로에서] 무너진 필수의료, 입법이 답이다",2026-04-22,https://www.yeongnam.com/web/view.php?key=20260421023159156,2026-04-23 08:37:04
미수용,news1,"""응급환자 이송체계 혁신사업 강원도로""…현장 간담회 개최",2026-04-22,https://www.news1.kr/bio/general/6144691,2026-04-23 08:37:04
미수용,1conomynews,강원 건강 취약 1인 가구 느는데…응급의료 이송체계 부실,2026-04-22,https://www.1conomynews.co.kr/news/articleView.html?idxno=48217,2026-04-23 08:37:01
모자보건,kgnews,"군포시, 산본제일병원과 '건강증진‧모자보건' 협력 강화",2026-04-22,https://www.kgnews.co.kr/news/article.html?no=892555,2026-04-23 08:38:11
닥터헬기,yna,복지장관 원주세브란스 방문…닥터헬기 등 응급환자 이송 점검,2026-04-22,https://www.yna.co.kr/view/AKR20260421161500530?input=1195m,2026-04-23 08:35:57
닥터헬기,whosaeng,"정은경 장관, 강원 응급환자 이송체계 점검 나서",2026-04-22,http://www.whosaeng.com/170028,2026-04-23 08:35:54
닥터헬기,view,"정은경 복지부 장관, 강원 찾아 응급환자 이송체계 점검",2026-04-22,https://view.asiae.co.kr/article/2026042210312601993,2026-04-23 08:35:57
닥터헬기,newspicom,닥터헬기의 출동 준비 체계 살펴보는 정은경 장관,2026-04-22,https://www.newspim.com/news/view/20260422000863,2026-04-23 08:35:54
닥터헬기,newsis,"정은경 장관, 강원 응급환자 이송체계 점검…현장간담회",2026-04-22,https://www.newsis.com/view/NISX20260422_0003601276,2026-04-23 08:35:57
닥터헬기,news,"'강원도'로 간 정은경 복지장관, 응급의료 체계 현장 점검…""이송체계 ...",2026-04-22,https://news.bbsi.co.kr/news/articleView.html?idxno=4079887,2026-04-23 08:35:54
